Titel;Autor;hkat;ukat1;Kat3;Schlagworte
Berts beste Katastrophen;S. Olsson, A. Jacobsson;4;26;;
Der rote Nepomuk;Josef Holub;4;26;;
Die Fünfzig vom Abendblatt;Alfred Weidenmann;4;26;;
Samuel Tillerman, Der Läufer;Cynthia Voigt;4;26;;
Der Fluch des Käpt´n Korby;Dieter Schliwka;4;26;;
Wie Sand vor dem Wind;Kurt Lütgen;5;14;;
Rotes Kap der Abenteuer;Rainer M. Schröder;5;14;;
Land des Feuers, Land der Sehnsucht;Rainer M. Schröder;5;14;;
Jäger des weißen Goldes;Rainer M. Schröder;5;14;;
Auf dem Strom;Hermann Schulz;5;14;;
Pepe Amado;Gudrun Pausewang;5;14;;
Rote Sonne, schwarzes Land;Barbara Wood;5;14;;
Ein Schmetterling aus Surinam;Ingrid Möller;4;27;;
Carolina;Iva Procházková;4;27;;
Ein krasser Sommer;Eva-Maria Schmid;4;27;;
Fragt mal Alice;Anonym;4;27;;
Ich, die Andere;Jana Frey;4;27;;
Klassenspiel;Celia Rees;4;27;;
Essen? Nein, danke!;Stewart;4;27;;
Hamide spielt Hamide;Annelies Schwarz;4;27;;
Novemberkatzen;Mirjam Pressler;4;27;;
Zoe schweigt;Martia De Sterck;4;27;;
Die vier Freiheiten der Hanna B.;Ingeborg Bayer;4;27;;
Der Gesang der Orcas;Antje Babendererde;4;27;;
Taube unter Falken;Katherine Allfrey;4;27;;
Drachenflügel;Renate Welsh;4;27;;
Shabanu Tochter des Windes;Suzanne Fisher Staples;4;27;;
Im Tunnel Sterne suchen;Jane Mitchell;4;27;;
Zweimal Marie;Nina Petrick;4;27;;
Alles Liebe, Deine Anna;Jean Little;4;27;;
Der Schatten des Schmetterlings;Marjaleena Lembke;4;27;;
Als ich noch Gretchen Asmussen hieß;Christina König;4;27;;
Buon Giorno Germania;Enzo Demattè;4;27;;
Fränze;Peter Härtling;4;27;;
50 Hertz gegen Stalin;Steffen Lüddemann;5;15;;
Da soll der Mensch nicht scheiden;Herbert Plate;5;15;;
Giuseppe und Maria;Kurt Held;5;15;;
Mauersegler;Waldtraut Lewin;5;15;;
Zwischen uns die Mauer;Katja Hildebrand;5;15;;
Stern über der Mauer;H.-G. Noack;5;15;;
Weggesperrt;Grit Poppe;5;15;;
Die Stunde der Lerche;Willi Fährmann;5;15;;
Wintereis;Peter van Gestel;5;15;;
Ein Kind im Krieg;Thierry Jonquet;5;15;;
Krücke;Peter Härtling;5;15;;
Das Schulschwein;Walter Püschel;5;15;;
5 Tage im Juni;Stefan Heym;5;15;;
Mutmaßungen über Jakob;Uwe Johnson;5;15;;
Nikolaikirche;Erich Loest;5;15;;
Gratwanderung;Jewgenia Ginsburg;5;15;;
Im Sperrkreis;Felix Hartlaub;5;15;;
The Russia House;John le Carré;5;15;;Englisch
Paule Pizolka;Arnulf Zitelmann;5;22;;
Stern ohne Himmel;Leonie Ossowski;5;22;;
Die lange Reise des Jakob Stern;Rainer M. Schröder;5;22;;
Mojsche und Rejsele;Karlijn Stoffels;5;22;;
Als Hitler das rosa Kaninchen stahl;Judith Kerr;5;22;;
Warten bis der Frieden kommt;Judith Kerr;5;22;;
Er hieß Jan;Irina Korschunow;5;22;;
... und dann musste ich gehen;Charles Hannam;5;22;;
Das Scheusal;Alice Herdan-Zuckmayer;5;22;;
du darfst nicht schreien;Gudrun Pausewang;5;22;;
Die Welle;Morton Rhue;5;22;;
Liverpool Street;Anne C. Voorhoeve;5;22;;
Ein Stück Himmel;Janina David;5;22;;
Ein Stück Erde;Janina David;5;22;;
Ein Stück Fremde;Janina David;5;22;;
Alles ist erleuchtet;Jonathan Safran Foer;5;22;;
Extrem laut und unglaublich nah;Jonathan Safran Foer;5;22;;
Ein Haus für alle;Urusla Wölfel;5;22;;
Im Vorhof der Hölle;Carlo Ross;5;22;;
Das Jahr der Wölfe;Willi Fährmann;5;22;;
Emma oder die unruhige Zeit;Ursula Fuchs;5;22;;
Emma oder die unruhige Zeit;Ursula Fuchs;5;22;;
Lena - Unser Dorf und der Krieg;Käthe Recheis;5;22;;
Bis zur letzten Stunde;Traudel Junge;5;22;;
Er hieß Jan;Irina Korschunow;5;22;;
Die Kinder aus Nr. 67;Lisa Tetzner;5;22;;
Das Haus in den Bäumen;Renate Welsh;5;22;;
Jugend ohne Gott;Ödön von Horvath;5;22;;
Uns geht’s ja noch gold;Walter Kempowski;5;22;;
Die Welle;Morton Rhue;5;22;;
Atemschaukel;Herta Müller;5;22;;
Die erste Polka;Horst Bienek;5;22;;
Die letzten Tage von Pompeji;Edward Bulwer-Lytton;5;16;;
Viel Spaß mit den Römern!;Freya Stephan-Kühn;5;16;;
Der silberne Zweig;Rosemary Sutcliff;5;16;;
Der Adler der neunten Legion;Rosemary Sutcliff;5;16;;
Die Fackel Träger;Rosemary Sutcliff;5;16;;
Caius 1;Henry Winterfeld;5;16;;
Caius geht ein Licht auf;Henry Winterfeld;5;16;;
Caius 3;Henry Winterfeld;5;16;;
Caius, der Lausbub aus dem alten Rom;Henry Winterfeld;5;16;;
Caius, der Lausbub aus dem alten Rom;Henry Winterfeld;5;16;;
Mit Hannibal über die Alpen;Tilman Röhrig;5;16;;
Spartacus - Sklave und Rebell;Hans Dieter Stöver;5;16;;
Quintus geht nach Rom;Hans Dieter Stöver;5;16;;
Drei Tage in Rom;Hans Dieter Stöver;5;16;;
Große Gegner Roms;Hans Dieter Stöver;5;16;;
Quintus in Gefahr;Hans Dieter Stöver;5;16;;
Quintus in Gefahr;Hans Dieter Stöver;5;16;;
Quintus setzt sich durch;Hans Dieter Stöver;5;16;;
Quintus geht nach Rom;Hans Dieter Stöver;5;16;;
Das römische Weltwunder;Hans Dieter Stöver;5;16;;
Abram und Sarai;Arnulf Zitelmann;5;16;;
Ein gewisser Arminius;Werner Völker;5;16;;
Ein junger Römer namens Lukios;Maria Regina Kaiser;5;16;;
Das Erbe des Grauen Wolfes;Julian Atterton;5;16;;
4 für Rom - Die Piraten von Pompeji;Caroline Lawrence;5;16;;
Die Diebe von Ostia;Caroline Lawrenge;5;16;;
Gib mir meine Legionen wieder;Josef Carl Grund;5;16;;
TITUS kommt nicht alle Tage;Irene Ruttmann;5;16;;
Feuer am Limes;Josef Carl Grund;5;16;;
Geiseln für Cäsar;Josef Carl Grund;5;16;;
Zwei Leben für Hannibal;Josef Carl Grund;5;16;;
Asche auf Pompeji;Josef Carl Grund;5;16;;
Hannibal;Gisbert Haefs;5;16;;
Quo Vadis?;Henryk Sienkiewicz;5;16;;
Caesar und die Fäden der Macht;Harald Parigger;5;16;;
Hüte dich vor Caesars Rache;Lola Gándara;5;16;;
Die schwarze Schatulle;Batya Gur;5;16;;
Falsches Spiel in der Arena;Fabian Lenk;5;16;;
Anschlag auf Pompeji;Fabian Lenk;5;16;;
Galahad;Rosemary Sutcliff;5;16;;
Dürfen Sklaven sich Verlieben?;Sylke Tempel;5;16;;
Die Festung im Fels;Galila Ron-Feder;5;16;;
Lukios;Maria Regina Kaiser;5;16;;
Zwölf Steine für Judäa;Arnulf Zitelmann;5;16;;
Die wahrhaftigen Abenteuer des Felix Faber;Reiner M. Schröder;5;28;;
Marijn bei den Freibeutern;Miep Diekmann;5;28;;
Jenseits des großen Meeres - Die Flucht;Avi;5;28;;
Jenseits des großen Meeres - Der blinde Passagier;Avi;5;28;;
Piraten!;Celia Rees;5;28;;
Da liegt Gold, Tim!;Hans Brunner;5;28;;
Wrack unter Wasser;An Rutgers;5;28;;
Der junge Seewolf;Frank Adam;5;28;;
Hexenfeuer;Isolde Heyne;5;23;;
Magellan;Kurt Honolka;5;23;;
Alyce und keine andere;Karen Cushman;5;23;;
Das Kloster der Ketzer;Rainer M. Schröder;5;23;;
Die Lagune der Galeeren;Rainer M. Schröder;5;23;;
Das Geheimnis um die Seelenpest;Jürgen Seidel;5;23;;
Hexenfeuer;Isolde Heyne;5;23;;
Don Quichotte;Erich Kästner;5;23;;
Junipers Hexenkind;Monica Furlong;5;23;;
Matilda Bone;Karen Cushman;5;23;;
Don Quijote;Miguel de Cervantes Saavedra;5;23;;
Don Quijote;Miguel De Cervantes Saavedra;5;23;;
Das Friedenskind;Ann Phillips;5;23;;
Die Brüder des Wolfes;Wolf-Dieter v. Tippelskirch;5;23;;
Das Zeichen im Feuer;Cynthia Harnett;5;23;;
Die Brüder des Wolfes;Wolf-Dieter v. Tippelskirch;5;23;;
Der Ritter von der Drachenburg;Claudia Brinker;5;23;;
Samurai;Chris Bradford;5;23;;
Entdecker, Forscher, Abenteurer;Rainer M. Schröder;1;;;
Ich-Gracey O´Malley;Franjo Terhart;1;;;Die abenteuerliche Geschichte einer irischen Piratin
Heul doch den Mond an und Der Schatz der Apachen;Werner J. Egli;1;;;
Der Ruf der Wildnis;Jack London;1;;;
In der Brandung und andere Geschichten;Jack London;1;;;
Wolfsblut;Jack London;1;;;
Lockruf des Goldes;Jack London;1;;;
Das Mondtal;Jack London;1;;;
Der Seewolf;Jack London;1;;;
Alaska - Kid;Jack London;1;;;
Winnetou 1;Karl May;1;;;
Am stillen Ozean;Karl May;1;;;
Am rio de la Plata;Karl May;1;;;
In den Kordilleren;Karl May;1;;;
In den Kordilleren;Karl May;1;;;
Menschenjäger;Karl May;1;;;
Der Mahdi;Karl May;1;;;
Im Sudan;Karl May;1;;;
Winnetou 2;Karl May;1;;;
Bei den Trümmern von Babylon;Karl May;1;;;
Winnetou 2;Karl May;1;;;
Winnetou 3;Karl May;1;;;
Unter Geiern;Karl May;1;;;
Der Ölprinz;Karl May;1;;;
Old Surehand 2;Karl May;1;;;
Durch die Wüste;Karl May;1;;;
Durchs wilde Kurdistan;Karl May;1;;;
Benito Juarez;Karl May;1;;;
Von Bagdad nach Stambul;Karl May;1;;;
Der Derwisch;Karl May;1;;;
Im Tal des Todes;Karl May;1;;;
In den Schluchten des Balken;Karl May;1;;;
Durch das Land der Skipetaren;Karl May;1;;;
Der Schut;Karl May;1;;;
Der Schut;Karl May;1;;;
Zwei Jahre Ferien;Jules Vernes;1;;;
Die Eissphinx;Jules Vernes;1;;;
Keraban, der Starrkopf;Jules Vernes;1;;;
Hektor Servadacs Weltraumreise;Jules Vernes;1;;;
Die Abenteuer des Käpitäns Hatteras;Jules Vernes;1;;;
Fünf Wochen im Ballon;Jules Vernes;1;;;
Mathias Sandorf;Jules Vernes;1;;;
20 000 Meilen unter dem Meer;Jules Vernes;1;;;
Das Abenteuer des Kapitän Hatteras;Jules Vernes;1;;;
Das Mondabenteuer;Jules Vernes;1;;;
Ein Kapitän von 15 Jahren;Jules Vernes;1;;;
Die Reise um die Erde in 80 Tagen- Reise zum Mittelpunkt der Erde;Jules Vernes;1;;;
Geh, zügle den Sturm;Joan Aiken;1;;;
Der flüsternde Berg;Joan Aiken;1;;;
Ein Hauch von Frost;Joan Aiken;1;;;
Anschlag auf Nantucket;Joan Aiken;1;;;
Geh, sattle das Meer;Joan Aiken;1;;;
Ein Kichern in der Luft;Joan Aiken;1;;;
Geh, zähme den Berg;Joan Aiken;1;;;
Die Borger in den Feldern;Mary Norton;1;;;
Die Stadt der wilden Götter;Isabel Allende;1;;;
Im Reich des goldenen Drachen;Isabel Allende;1;;;
Im Bann der Masken;Isabel Allende;1;;;
Löcher Die Geheimnisse von Green Lake;Louis Sachar;1;;;
Ayla und der Clan des Bären;Jean M. Auel;1;;;
Reise um die Erde in achtzig Tagen;Jules Vernes;1;;;
Der schwarze Steuermann;Joseph Conrad;1;;;
Das Geheimnis des siebten Weges;Tonke Dragt;1;;;
Die Türme des Februar;Tonke Dragt;1;;;
Weiße Finsternis;Geraldine McCauhrean;1;;;
Sie nannten ihn Lederstrumpf;Walter Hansen;1;;;
Großer Tiger und Christian;Fritz Mühlenweg;1;;;
Grischka;René Guillot;1;;;
Die Dschungelbücher;Kipling;1;;;
Ein Kapitän von 15 Jahren;Jules Vernes;1;;;
Gullivers Reisen;Jonathan Swift;1;;;
Die geheime Benedict-Gesellschaft;Trenton Lee Stewart;1;;;
Die geheime Benedict-Gesellschaft 2;Trenton Lee Stewart;1;;;
Auf der Suche nach Padjelanta;Anton Quintana;1;;;
Insel der blauen Delfine;Scott O'Dell;1;;;
Das verlassene Boot am Strand;Scott O'Dell;1;;;
Insel der blauen Delfine;Scott O'Dell;1;;;
Insel der blauen Delfine;Scott O'Dell;1;;;
Grischkas großes Abenteuer;Rene Guillot;1;;;
Die Piratenamsel;Uwe Timm;1;;;
Der Schatz auf Pagensand;Uwe Timm;1;;;
Julie von den Wölfen;Jean Craighead George;1;;;
Wölfe ums Schloss;Joan Aiken;1;;;
Isa und die Schmugglerbande;Joan Aiken;1;;;
Die Kinder von Holderness;Joan Aiken;1;;;
Rico, Oskar und die Tieferschatten;Andreas Steinhöfel;1;;;
Die Welt am Ende der Welt;Mona und Erik Ziemen;1;;;
In den Wäldern am kalten Fluss;William Judson;1;;;
Geheimmission Mond;P. B. Kerr;1;;;
Drei Jungen vor dem Mast;Jaques Christophe;1;;;
Großer Tiger und Christian;Fritz Mühlenweg;1;;;
